player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
Michael Jordan,SG,1072,5.257,0.822,4.673,0.508,11.369,0.496,22.904,6.836,0.833,8.193,76.424,38.265,1.541,2.593,30.13,2.351,2.733,6.227,10.84,0.51,21.245,0.544,0.28,1.651,14,7,,,
Wilt Chamberlain,C,1045,4.439,0,0,0.568,12.138,0.568,22.483,5.795,0.501,11.358,0,45.809,0,1.992,30.062,0,0,22.895,12.138,0.568,22.483,0,0,0,13,4,,,
Luka Dončić,SG,405,8.261,0.437,7.718,0.539,9.744,0.467,20.814,6.164,0.746,8.236,66.091,34.899,0.96,2.26,28.654,1.184,3.983,8.662,6.743,0.553,12.141,3,0.345,8.655,5,1,,,
Joel Embiid,C,433,3.65,1.688,8.929,0.534,9.184,0.501,18.224,8.332,0.821,10.078,57.111,31.954,2.241,3.067,27.885,0.912,3.405,11.167,7.997,0.538,14.794,1.166,0.342,3.446,7,1,,,
Elgin Baylor,SF,846,4.312,0,0,0.431,10.286,0.431,23.849,6.806,0.78,8.735,0,40.029,0,3.058,27.365,0,0,13.543,10.286,0.431,23.849,0,0,0,11,1,,,
Kevin Durant,SF,1066,4.37,1.128,6.359,0.552,9.371,0.501,18.72,6.58,0.882,7.447,70.01,36.738,0.668,1.919,27.258,1.058,3.174,7.033,7.456,0.545,13.781,1.92,0.384,4.955,14,2,,,
LeBron James,SF,1497,7.373,0.737,6.353,0.549,9.934,0.507,19.642,5.615,0.735,7.645,72.205,37.921,1.158,1.804,27.107,1.524,3.494,7.488,8.323,0.558,14.993,1.62,0.347,4.639,20,5,,,
Jerry West,PG,932,6.698,0.023,0.093,0.473,9.683,0.473,20.421,7.674,0.808,9.45,0,39.239,0.033,2.62,27.032,0.086,0,5.747,9.683,0.473,20.421,0,0,0,14,0,,,
Allen Iverson,PG,914,6.151,0.172,2.897,0.453,9.261,0.427,21.779,6.981,0.776,8.952,68.025,41.137,0.817,1.947,26.674,2.171,3.576,3.711,8.106,0.45,18.084,1.167,0.312,3.694,11,2,,,
Bob Pettit,PF,792,2.988,0,0,0.435,9.27,0.435,21.312,7.82,0.762,10.246,0,38.744,0,3.202,26.368,0,0,16.234,9.27,0.435,21.312,0,0,0,11,2,,,
Oscar Robertson,PG,1040,9.506,0.007,0.202,0.483,9.141,0.483,18.862,7.41,0.838,8.837,0,42.191,0.067,2.822,25.685,0.074,0,7.504,9.141,0.483,18.862,0,0,0,12,1,,,
Trae Young,PG,412,9.537,0.152,2.925,0.505,8.111,0.435,18.581,6.723,0.871,7.705,68.388,34.155,0.66,1.705,25.526,1.01,4.184,3.594,5.521,0.49,11.219,2.605,0.351,7.38,3,0,,,
Damian Lillard,PG,847,6.723,0.311,3.639,0.52,8.085,0.437,18.484,5.839,0.893,6.492,72.674,36.241,0.603,1.91,25.119,0.968,2.823,4.241,5.02,0.494,10.123,3.112,0.37,8.343,8,1,,,
George Gervin,SG,1060,2.652,0.99,3.577,0.505,9.778,0.502,19.426,5.402,0.842,6.438,27.565,33.58,1.703,3.074,25.095,1.215,2.762,5.283,9.66,0.508,18.998,0.11,0.197,0.427,12,0,,,
Karl Malone,PF,1476,3.564,0.774,7.723,0.516,9.155,0.514,17.75,6.628,0.733,8.935,79.001,37.164,2.419,3.106,25.024,1.418,3.067,10.146,9.105,0.517,17.542,0.044,0.211,0.216,14,2,,,
Kobe Bryant,SG,1346,4.694,0.47,4.119,0.481,8.711,0.445,19.471,6.224,0.835,7.438,64.083,36.124,1.107,2.498,24.988,1.434,2.984,5.239,7.357,0.475,15.339,1.353,0.327,4.126,18,1,,,
Donovan Mitchell,SG,473,4.657,0.324,3.449,0.525,8.824,0.45,19.608,4.163,0.84,4.977,66.112,34.169,0.807,2.471,24.839,1.395,2.77,4.254,5.868,0.511,11.536,2.968,0.365,8.102,5,0,,,
Dominique Wilkins,SF,1074,2.505,0.606,3.929,0.477,9.268,0.459,20.098,5.617,0.802,6.926,70.959,35.498,2.745,1.921,24.825,1.28,2.488,6.67,8.614,0.475,18.013,0.661,0.272,2.08,9,0,,,
Rick Barry,SF,1020,4.863,0.256,3.529,0.46,9.515,0.454,20.852,5.593,0.903,6.272,0,37.41,0.958,2.969,24.768,1.086,1.333,6.736,9.347,0.46,20.279,0.172,0.081,0.592,12,1,,,
Stephen Curry,PG,959,6.391,0.26,4.079,0.58,8.453,0.473,17.865,3.926,0.908,4.325,70.237,34.209,0.67,2.309,24.749,1.526,3.125,4.726,4.521,0.525,8.658,3.917,0.428,9.207,10,3,,,
Kareem Abdul-Jabbar,C,1560,3.628,2.051,6.014,0.559,10.154,0.559,18.142,4.302,0.727,5.967,31.32,36.826,1.907,2.977,24.609,0.744,1.622,11.181,10.154,0.56,18.142,0,0.017,0,19,7,,,
Zion Williamson,PF,188,4.136,0.631,4.33,0.592,9.451,0.586,16.089,5.49,0.693,7.946,53.479,31.779,2.232,2.203,24.56,0.967,2.843,6.561,9.276,0.594,15.614,0.178,0.336,0.512,2,0,,,
Devin Booker,SG,603,4.987,0.302,3.441,0.519,8.511,0.462,18.315,5.198,0.867,5.984,63.753,34.05,0.593,2.952,24.324,0.863,3.028,4.015,6.404,0.511,12.504,2.085,0.357,5.821,4,0,,,
Larry Bird,PF,897,6.34,0.842,8.053,0.513,9.587,0.494,19.313,4.422,0.885,4.985,72.941,38.397,1.954,2.545,24.302,1.726,3.122,10.006,8.853,0.507,17.406,0.72,0.346,1.916,12,4,,,
Adrian Dantley,SF,955,2.964,0.164,3.409,0.534,8.555,0.534,15.833,7.155,0.817,8.749,40.254,35.766,2.321,2.661,24.268,0.998,2.614,5.708,8.529,0.535,15.8,0.001,0.098,0.036,6,1,,,
Pete Maravich,SG,658,5.43,0.17,2.162,0.442,9.402,0.441,21.307,5.422,0.823,6.602,0.261,36.955,0.648,2.82,24.227,0.899,0.809,4.173,9.382,0.441,21.287,0.013,0.044,0.02,5,0,,,
Julius Erving,SF,1243,4.17,1.562,5.492,0.508,9.51,0.505,18.803,5.034,0.779,6.481,50.616,36.382,2.968,2.806,24.157,1.825,3.168,8.466,9.404,0.509,18.44,0.095,0.221,0.356,16,4,,,
James Harden,SG,1077,7.139,0.561,4.861,0.525,7.133,0.44,16.152,7.145,0.858,8.314,57.916,34.732,0.757,2.513,24.146,1.494,3.678,5.623,4.391,0.508,8.615,2.744,0.364,7.552,10,2,,,
Anthony Davis,PF,741,2.491,2.301,7.997,0.536,9.037,0.523,17.24,5.61,0.791,7.063,62.831,34.533,2.648,2.356,24.114,1.341,1.996,10.637,8.553,0.545,15.708,0.456,0.243,1.564,9,0,,,
Shaquille O'Neal,C,1207,2.505,2.26,7.368,0.585,9.385,0.585,16.111,4.908,0.526,9.324,65.817,34.722,3.493,3.446,23.698,0.609,2.74,10.851,9.38,0.586,16.1,0,0.022,0.011,15,2,,,
Kyrie Irving,PG,734,5.669,0.437,3.218,0.538,8.703,0.473,18.336,3.818,0.886,4.318,59.913,34.418,0.81,2.293,23.591,1.318,2.498,4.039,6.321,0.514,12.289,2.381,0.393,6.036,8,1,,,
Giannis Antetokounmpo,SF,797,4.87,1.234,7.955,0.555,8.522,0.533,15.612,5.694,0.706,8.131,65.939,32.773,1.828,3,23.406,1.147,3.009,9.783,7.865,0.576,13.301,0.667,0.273,2.321,8,4,,,
Jayson Tatum,SF,518,3.534,0.671,6.253,0.532,8.079,0.461,17.516,4.507,0.842,5.325,73.062,34.227,0.911,2.113,23.165,1.115,2.286,7.149,5.525,0.513,10.72,2.542,0.382,6.781,5,0,,,
George Mikan,C,439,2.833,0,0,0.402,8.055,0.402,20.015,6.993,0.781,8.94,0,19.028,0,4.228,23.119,0,0,9.493,8.055,0.402,20.015,0,0,0,4,0,,,
Anthony Edwards,SG,306,4.075,0.575,4.472,0.517,8.217,0.445,18.438,3.891,0.787,4.915,70.467,34.493,0.74,2.086,22.983,1.367,2.834,5.209,5.584,0.508,10.98,2.659,0.354,7.459,2,0,,,
Karl-Anthony Towns,C,577,3.159,1.257,8.089,0.577,8.402,0.524,16.056,4.362,0.839,5.21,69.329,33.957,2.767,3.395,22.906,0.799,2.7,10.851,6.694,0.569,11.801,1.701,0.393,4.28,4,1,,,
Shai Gilgeous-Alexander,PG,390,4.876,0.771,4.032,0.529,8.009,0.491,16.152,5.678,0.837,6.665,65.415,32.866,0.764,2.273,22.856,1.397,2.294,4.759,6.808,0.53,12.743,1.181,0.351,3.418,2,0,,,
Paul Arizin,SF,713,2.337,0,0,0.421,7.873,0.421,18.719,7.019,0.809,8.672,0,34.928,0,3.891,22.817,0,0,8.597,7.873,0.421,18.719,0,0,0,10,0,,,
David Thompson,SF,592,3.279,0.849,2.499,0.505,8.452,0.504,16.769,5.675,0.783,7.278,8.623,32.773,1.625,2.659,22.677,1.007,2.322,4.13,8.426,0.506,16.596,0.036,0.134,0.162,5,0,,,
Dan Issel,C,1218,2.389,0.486,6.11,0.5,8.568,0.499,17.169,5.411,0.792,6.837,15.328,34.298,3.046,2.872,22.573,0.845,2.054,9.155,8.548,0.501,17.043,0.013,0.175,0.119,7,0,,,
Alex Groza,C,130,2.449,0,0,0.474,7.795,0.474,16.391,6.897,0.758,9.142,0,0,0,3.551,22.537,0,0,5.432,7.795,0.474,16.391,0,0,0,1,0,,,
Bernard King,SF,874,3.274,0.274,3.848,0.521,8.965,0.52,17.293,4.559,0.728,6.22,45.395,33.659,1.963,3.298,22.504,0.985,3.197,5.789,8.933,0.523,17.139,0.02,0.122,0.172,4,0,,,
Ja Morant,PG,262,7.447,0.306,3.889,0.507,8.165,0.471,17.278,4.889,0.757,6.454,58.824,32.123,0.994,1.559,22.457,0.999,3.324,4.861,6.898,0.517,13.292,1.268,0.318,4.008,2,2,,,
Carmelo Anthony,SF,1260,2.727,0.519,4.624,0.486,8.037,0.444,17.984,5.02,0.816,6.162,63.122,34.529,1.573,2.817,22.449,0.975,2.424,6.197,6.658,0.47,14.11,1.381,0.343,3.875,10,0,,,
Charles Barkley,PF,1073,3.942,0.834,7.716,0.556,7.854,0.54,14.536,5.935,0.733,8.06,66.821,36.657,3.96,3.079,22.148,1.547,3.145,11.697,7.361,0.579,12.673,0.507,0.245,1.885,11,1,,,
Bob McAdoo,PF,852,2.282,1.348,6.459,0.499,8.715,0.499,17.335,4.622,0.753,6.155,0.055,33.26,2.139,3.211,22.052,0.884,1.427,9.466,8.709,0.5,17.289,0.007,0.009,0.042,5,2,,,
Dwyane Wade,PG,1054,5.413,0.838,3.494,0.494,8.021,0.478,16.71,5.417,0.76,7.091,57.989,33.954,1.185,2.222,21.974,1.541,3.153,4.68,7.498,0.5,14.931,0.524,0.275,1.777,13,0,,,
Willie Somerset,PG,143,3.606,0,1.345,0.44,7.76,0.427,18.153,5.942,0.808,7.366,0,38.812,0.983,3.45,21.886,0,2.652,4.568,7.245,0.441,16.402,0.472,0.265,1.751,1,0,,,
Bradley Beal,SG,751,4.32,0.417,3.22,0.524,8.018,0.461,17.327,3.663,0.812,4.443,62.172,34.585,0.864,2.241,21.84,1.118,2.455,4.079,5.859,0.502,11.562,2.158,0.378,5.762,3,0,,,
Geoff Petrie,SG,446,4.611,0.085,0.995,0.455,8.901,0.455,19.557,4.02,0.81,4.982,0,37.658,0.318,2.417,21.824,0.553,0,2.837,8.901,0.455,19.557,0,0,0,2,1,,,
Hakeem Olajuwon,C,1238,2.465,3.094,7.854,0.51,8.681,0.509,16.963,4.377,0.704,6.152,68.79,35.719,3.255,3.537,21.755,1.746,2.976,11.107,8.659,0.511,16.858,0.017,0.106,0.102,12,3,,,
Russell Westbrook,PG,1166,8.137,0.342,5.532,0.467,7.777,0.437,17.766,5.019,0.763,6.474,66.219,33.574,1.62,2.546,21.656,1.58,3.946,7.136,6.673,0.472,14.153,1.093,0.297,3.616,9,1,,,
Paolo Banchero,PF,157,4.627,0.561,5.824,0.484,7.455,0.443,16.74,5.363,0.728,7.336,73.943,34.494,1.136,2.06,21.611,0.845,2.934,6.961,6.07,0.485,12.46,1.385,0.32,4.28,1,1,,,
Alex English,SF,1193,3.645,0.709,3.146,0.505,8.941,0.505,17.627,3.584,0.823,4.301,51.288,31.899,2.334,2.531,21.465,0.891,2.371,5.493,8.913,0.505,17.546,0,0.173,0.082,8,0,,,
DeMar DeRozan,SG,1114,4.074,0.338,3.717,0.484,7.606,0.47,16.225,5.568,0.836,6.609,73.614,34.649,0.696,2.241,21.253,0.997,2.05,4.407,7.138,0.488,14.602,0.475,0.271,1.622,6,0,,,
De'Aaron Fox,PG,473,6.125,0.423,3.207,0.51,7.808,0.467,16.611,4.035,0.738,5.483,65.763,32.901,0.586,2.592,21.214,1.419,2.723,3.814,6.325,0.515,12.161,1.498,0.329,4.45,1,1,,,
Victor Wembanyama,C,76,3.854,3.574,8.4,0.516,7.695,0.462,16.575,4.107,0.804,5.161,66.658,29.786,2.293,2.187,21.189,1.187,3.693,10.6,5.908,0.537,10.989,1.787,0.319,5.586,0,1,,,
Billy Cunningham,SF,770,4.283,0.084,2.256,0.451,7.988,0.451,17.646,5.211,0.729,7.146,0,34.869,0.634,3.695,21.187,0.504,0.657,10.365,7.967,0.452,17.579,0.022,0.036,0.078,5,1,,,
David Robinson,C,987,2.483,2.987,7.507,0.515,7.466,0.514,14.42,6.107,0.731,8.314,76.052,34.724,3.117,2.881,21.06,1.402,2.45,10.632,7.442,0.516,14.31,0.016,0.134,0.096,10,3,,,
Nikola Jokić,C,679,6.935,0.748,8.096,0.588,8.093,0.554,14.537,3.797,0.826,4.599,70.087,31.285,2.654,2.721,21.024,1.234,2.884,10.739,7.087,0.602,11.652,1.019,0.35,2.885,6,3,,,
Mitch Richmond,SG,976,3.477,0.259,3.003,0.493,7.475,0.452,16.439,4.669,0.857,5.504,67.985,35.158,0.902,2.57,21.014,1.249,2.65,3.897,6.127,0.469,12.934,1.36,0.375,3.515,6,1,,,
Elvin Hayes,C,1303,1.846,1.36,5.34,0.453,8.421,0.452,18.624,4.105,0.67,6.126,8.082,38.385,2.134,3.219,20.971,0.668,1.042,12.485,8.421,0.453,18.599,0,0.045,0.025,12,0,,,
Patrick Ewing,C,1190,1.867,2.433,7.434,0.496,8.138,0.496,16.169,4.521,0.735,6.147,69.723,34.124,2.329,3.389,20.853,0.967,2.962,9.751,8.138,0.498,16.063,0.02,0.1,0.109,11,1,,,
John Havlicek,SF,1270,4.828,0.093,1.094,0.439,8.265,0.439,18.845,4.224,0.813,5.181,0,36.587,0.478,2.583,20.794,0.379,0.161,6.307,8.265,0.439,18.845,0,0,0,13,0,,,
Paul George,SG,867,3.669,0.44,5.47,0.519,7.098,0.44,16.135,4.016,0.847,4.692,66.096,33.656,0.837,2.663,20.786,1.68,2.671,6.316,4.511,0.482,9.37,2.615,0.379,6.749,9,1,,,
Dirk Nowitzki,PF,1522,2.409,0.84,6.582,0.511,7.342,0.466,15.597,4.753,0.874,5.419,72.129,33.754,0.967,2.374,20.737,0.808,1.642,7.543,6.052,0.493,12.177,1.309,0.379,3.429,14,1,,,
John Drew,PF,739,1.664,0.259,3.977,0.471,7.416,0.47,15.797,5.848,0.748,7.817,7.645,29.526,2.91,3.572,20.7,1.358,1.901,6.887,7.405,0.471,15.709,0.02,0.061,0.083,2,0,,,
Chris Webber,C,831,4.234,1.445,7.028,0.489,8.656,0.48,18.078,3.055,0.642,4.695,63.903,37.134,2.734,3.246,20.676,1.441,2.78,9.775,8.345,0.492,17.028,0.316,0.246,1.074,5,1,,,
Glenn Robinson,SF,688,2.737,0.57,4.608,0.485,8.092,0.459,17.634,3.603,0.822,4.382,68.703,36.837,1.492,2.679,20.676,1.203,3.128,6.09,7.197,0.48,14.974,0.907,0.343,2.66,2,0,,,
John Brisker,SF,331,2.365,0.027,3.362,0.461,8.088,0.45,17.873,4.006,0.834,4.815,0,30.051,2.195,2.851,20.674,0.104,2.22,6.507,7.576,0.461,16.298,0.489,0.195,1.551,2,0,,,
Alperen Sengun,C,68,4.897,0.693,6.503,0.542,8.179,0.525,15.526,3.878,0.695,5.556,58.735,32.301,3.025,3.322,20.666,1.229,2.556,9.528,7.565,0.552,13.726,0.522,0.308,1.8,0,0,,,
Gilbert Arenas,PG,552,5.279,0.243,3.116,0.479,6.724,0.418,16.04,5.21,0.793,6.501,56.971,35.075,0.792,3.068,20.662,1.607,3.152,3.928,4.787,0.458,10.463,1.967,0.348,5.587,3,1,,,
Zach LaVine,PG,585,3.932,0.288,3.601,0.529,7.282,0.46,15.699,3.667,0.831,4.401,52.067,32.539,0.456,2.177,20.468,0.887,2.626,4.084,5.062,0.509,9.833,2.239,0.378,5.874,2,0,,,
Clyde Drexler,SG,1086,5.647,0.67,3.734,0.492,7.682,0.469,16.269,4.338,0.783,5.483,63.788,34.565,2.415,3.013,20.435,2.025,2.742,6.15,6.919,0.494,13.881,0.742,0.28,2.391,10,0,,,
Dave Bing,PG,901,5.997,0.096,0.813,0.442,7.724,0.442,17.511,4.892,0.779,6.31,0,36.371,0.459,2.902,20.346,0.536,0.24,3.796,7.724,0.442,17.511,0,0,0,7,1,,,
Moses Malone,C,1455,1.328,1.298,7.179,0.491,7.063,0.49,14.263,6.196,0.756,8.148,42.103,33.989,5.082,2.388,20.337,0.817,2.941,12.266,7.056,0.492,14.203,0.001,0.067,0.055,13,3,,,
World B. Free,SG,886,3.758,0.252,1.604,0.457,7.346,0.451,16.137,5.329,0.746,7.07,32.649,30.363,1.136,2.565,20.275,1.029,2.121,2.755,7.116,0.456,15.421,0.231,0.195,0.716,1,0,,,
Spencer Haywood,C,844,1.824,0.747,5.138,0.468,8.025,0.468,17.115,4.207,0.79,5.284,6.799,34.828,2.385,2.824,20.271,0.436,1.149,10.287,8.025,0.469,17.096,0,0.023,0.019,5,1,,,
Bob Verga,SG,342,2.922,0,1.813,0.449,7.648,0.439,17.427,4.568,0.741,6.102,0,31.45,1.672,2.945,20.217,0.037,2.901,3.899,7.281,0.449,16.182,0.367,0.273,1.246,1,0,,,
George McGinnis,SF,842,3.674,0.392,7.235,0.454,7.582,0.452,16.567,4.948,0.644,7.441,14.72,33.458,3.737,3.824,20.214,1.737,3.274,10.981,7.479,0.456,16.205,0.103,0.097,0.352,6,1,,,
Cade Cunningham,SG,143,6.52,0.579,4.31,0.484,7.674,0.432,17.639,3.01,0.855,3.52,56.706,33.189,0.731,2.804,20.194,1.029,3.603,5.042,5.778,0.479,12.074,1.845,0.332,5.565,0,0,,,
Lou Hudson,SF,890,2.74,0.105,0.802,0.489,8.302,0.489,17.014,3.536,0.8,4.455,0,33.476,0.488,2.749,20.169,0.575,0.28,4.413,8.302,0.489,17.014,0,0,0,6,0,,,
LaMelo Ball,PG,188,7.38,0.36,4.915,0.513,7.152,0.428,16.756,2.935,0.834,3.48,47.883,31.942,1.287,3.158,20.143,1.56,3.334,6.223,4.226,0.472,9.054,2.888,0.373,7.714,1,1,,,
Marques Johnson,SF,691,3.622,0.763,4.322,0.517,8.292,0.516,16.038,3.492,0.738,4.722,37.072,34.296,2.667,2.559,20.098,1.298,2.347,6.967,8.278,0.519,15.885,0.014,0.105,0.143,5,0,,,
Walt Bellamy,C,1043,2.442,0.044,0.463,0.516,7.585,0.516,14.702,4.895,0.627,7.757,0,37.345,0.251,3.401,20.087,0.052,0,13.653,7.585,0.516,14.702,0,0,0,4,0,,,
Bob Lanier,C,959,3.132,1.146,5.06,0.517,8.083,0.517,15.738,3.888,0.763,5.058,12.385,33.477,1.919,3.176,20.072,0.816,1.164,10.114,8.083,0.518,15.724,0,0.081,0.007,8,0,,,
Darel Carrier,SG,350,2.553,0,1.874,0.45,7.007,0.416,16.76,4.914,0.856,5.783,0,35.26,0.522,3.056,20.043,0,2.61,3.407,5.83,0.424,13.75,1.156,0.381,3.01,3,0,,,
Kawhi Leonard,SF,696,3.042,0.666,5.179,0.554,7.25,0.499,14.531,3.945,0.848,4.58,59.922,31.761,1.2,1.673,20.022,1.72,1.647,6.378,5.669,0.542,10.447,1.589,0.389,4.066,6,2,,,
Mark Aguirre,SF,923,3.121,0.317,3.117,0.494,7.798,0.479,16.105,3.975,0.738,5.369,53.376,30.045,1.849,2.816,20.003,0.747,2.491,4.952,7.38,0.495,14.745,0.422,0.301,1.363,3,0,,,
Jalen Green,SG,230,3.293,0.269,3.682,0.498,6.887,0.422,16.301,3.745,0.796,4.686,73.974,32.652,0.535,1.541,19.93,0.771,2.318,4.184,4.407,0.489,9.07,2.483,0.339,7.266,0,0,,,
Mike Mitchell,SF,759,1.334,0.52,3.563,0.495,8.418,0.494,17.011,2.976,0.777,3.819,46.194,32.339,2.035,2.657,19.77,0.704,1.718,5.587,8.388,0.496,16.879,0.021,0.165,0.12,1,0,,,
Kiki Vandeweghe,SF,810,2.075,0.297,2.343,0.527,7.575,0.514,14.463,4.298,0.869,4.92,51.528,30.283,1.107,1.909,19.727,0.584,1.618,3.436,7.305,0.524,13.708,0.273,0.298,0.74,2,0,,,
Paul Pierce,SF,1343,3.499,0.546,4.799,0.503,6.46,0.444,14.504,5.14,0.808,6.386,71.458,34.159,0.807,2.714,19.666,1.308,2.625,5.594,4.866,0.48,10.16,1.597,0.368,4.343,10,0,,,
Kristaps Porziņģis,PF,459,1.805,1.833,6.115,0.521,6.923,0.46,15.062,3.959,0.83,4.768,58.717,30.918,1.753,2.985,19.662,0.72,1.709,7.868,5.092,0.513,9.961,1.842,0.359,5.126,1,0,,,
Tracy McGrady,SF,938,4.439,0.869,4.241,0.467,7.151,0.435,16.434,4.145,0.735,5.546,50.954,32.687,1.38,1.761,19.595,1.215,2.165,5.619,6,0.458,13.012,1.159,0.334,3.412,7,1,,,
DeMarcus Cousins,C,654,3.041,1.127,7.604,0.481,6.962,0.458,15.183,4.977,0.734,6.747,55.752,29.837,2.583,3.702,19.579,1.321,3.279,10.182,6.332,0.484,13.204,0.649,0.234,1.952,4,0,,,
Klay Thompson,SG,798,2.323,0.52,3.066,0.549,7.299,0.452,16.093,1.829,0.859,2.138,69.782,32.573,0.473,2.041,19.564,0.843,1.677,3.512,4.151,0.489,8.501,3.147,0.414,7.596,5,0,,,
Magic Johnson,SG,906,11.193,0.403,5.465,0.534,6.843,0.52,13.203,5.486,0.843,6.462,63.772,36.688,1.762,2.247,19.561,1.905,3.894,7.225,6.517,0.541,12.008,0.363,0.229,1.194,12,3,,,
CJ McCollum,SG,735,3.807,0.41,2.993,0.528,7.415,0.451,16.381,2.125,0.792,2.632,61.765,32.069,0.65,2.095,19.46,0.906,1.816,3.622,4.939,0.484,10.128,2.49,0.398,6.235,0,1,,,
Brandon Ingram,SF,482,4.284,0.564,4.449,0.507,7.098,0.464,15.143,3.886,0.771,4.945,54.11,32.946,0.741,2.436,19.45,0.716,2.497,5.178,5.757,0.498,11.388,1.341,0.355,3.746,1,1,,,
Neil Johnston,C,516,2.445,0,0,0.443,6.39,0.443,14.411,6.621,0.763,8.617,0,35.461,0,3.245,19.413,0,0,11.351,6.39,0.443,14.411,0,0,0,6,0,,,
Levern Tart,SG,274,3.016,0,1.94,0.444,7.407,0.442,16.551,4.605,0.781,5.86,0,33.837,1.663,2.912,19.393,0,3.065,5.012,7.305,0.445,16.25,0.073,0.174,0.301,2,0,,,
Kemba Walker,PG,750,5.246,0.379,3.217,0.485,6.673,0.416,15.927,3.743,0.839,4.469,66.117,33.085,0.557,1.488,19.308,1.235,2.084,3.777,4.444,0.456,9.739,2.224,0.352,6.169,4,0,,,
Stephon Marbury,PG,846,7.651,0.15,2.28,0.468,6.824,0.43,15.756,4.454,0.774,5.673,70.125,37.708,0.685,2.388,19.273,1.213,2.99,2.955,5.669,0.461,12.144,1.183,0.321,3.606,2,0,,,
Chris Bosh,C,893,2.02,1.043,6.347,0.505,6.962,0.493,14.092,4.998,0.795,6.256,69.323,35.757,2.143,2.419,19.255,0.818,2.028,8.49,6.608,0.507,13.069,0.34,0.296,1.017,11,0,,,
Jack Twyman,SF,823,2.258,0,0,0.45,7.587,0.45,16.862,4.093,0.783,5.257,0,31.795,0,3.375,19.25,0,0,6.604,7.587,0.45,16.862,0,0,0,6,0,,,
Hal Greer,SG,1122,4.047,0,0,0.451,7.572,0.451,16.773,4.077,0.799,5.094,0,35.477,0,3.439,19.228,0,0,5.054,7.572,0.451,16.773,0,0,0,10,0,,,
George Yardley,SF,472,1.72,0,0,0.422,6.769,0.422,16.05,5.667,0.772,7.277,0,33.389,0,3.007,19.221,0,0,8.958,6.769,0.422,16.05,0,0,0,6,0,,,
Isiah Thomas,PG,979,9.251,0.252,2.566,0.464,7.354,0.451,16.248,4.104,0.76,5.441,76.101,36.283,0.976,3.042,19.22,1.91,3.761,3.542,6.943,0.467,14.837,0.403,0.289,1.402,12,0,,,
Charlie Scott,SG,644,4.919,0.228,2.327,0.445,7.793,0.445,17.419,3.519,0.762,4.599,0,34.88,0.943,3.657,19.127,0.953,1.513,3.853,7.767,0.446,17.293,0.026,0.052,0.126,5,0,,,
LaMarcus Aldridge,C,1076,1.924,1.104,5.548,0.502,7.713,0.495,15.681,3.448,0.81,4.242,66.439,33.694,2.586,2.419,19.107,0.699,1.527,8.128,7.51,0.503,15.027,0.204,0.228,0.657,7,0,,,
Julius Randle,PF,645,3.735,0.415,7.388,0.509,6.921,0.475,14.718,4.061,0.744,5.431,62.386,32.009,1.966,3.085,19.089,0.678,2.793,9.356,5.758,0.513,11.248,1.163,0.307,3.482,3,1,,,
Jamal Mashburn,SF,611,3.955,0.194,4.23,0.457,6.993,0.418,16.731,3.798,0.767,4.953,63.833,37.261,1.149,2.51,19.069,1.012,2.608,5.366,5.737,0.44,13.1,1.269,0.347,3.643,1,0,,,
Yao Ming,C,486,1.599,1.883,6.713,0.524,6.961,0.524,13.266,5.116,0.83,6.123,69.053,32.534,2.527,3.263,19.043,0.402,2.701,9.256,6.945,0.524,13.256,0,0.243,0,8,0,,,
Michael Redd,SG,629,2.132,0.124,2.833,0.502,6.666,0.445,14.952,4.004,0.827,4.772,47.262,31.942,0.99,1.601,19.041,0.921,1.529,3.836,5.022,0.475,10.587,1.644,0.374,4.387,1,0,,,
Tim Duncan,PF,1392,3.044,2.166,8.068,0.506,7.383,0.505,14.593,4.238,0.701,6.074,74.165,34.046,2.772,2.363,19.036,0.745,2.436,10.836,7.368,0.508,14.49,0.012,0.141,0.119,15,3,,,
Jeff Malone,SG,905,2.377,0.138,1.976,0.485,7.836,0.481,16.217,3.264,0.869,3.739,63.236,32.765,0.633,1.878,19.036,0.626,1.716,2.617,7.755,0.486,15.85,0.09,0.249,0.352,2,0,,,
Larry Jones,SG,551,3.686,0.039,2.36,0.46,6.751,0.451,14.888,5.264,0.799,6.677,0,34.432,1.408,2.867,19.034,0.157,2.128,4.962,6.487,0.464,13.905,0.264,0.225,0.997,4,0,,,
Brad Daugherty,C,548,3.707,0.724,7.34,0.532,6.991,0.532,13.111,4.995,0.745,6.687,71.044,36.561,2.193,2.674,18.963,0.763,2.752,9.533,6.991,0.532,13.097,0,0.112,0,5,0,,,
Blake Griffin,PF,765,4.004,0.46,6.049,0.518,7.097,0.489,14.372,4.085,0.7,5.889,60.141,31.886,1.943,2.697,18.959,0.819,2.262,8,6.381,0.528,12.221,0.706,0.292,2.167,6,1,,,
Clark Kellogg,PF,260,2.974,0.395,6.271,0.5,7.713,0.497,15.522,3.372,0.757,4.435,69.427,32.757,3.273,3.315,18.937,1.441,2.83,9.537,7.604,0.499,15.28,0.079,0.349,0.272,0,0,,,
