player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
John Warren,SG,303,1.854,0.023,0.273,0.435,2.479,0.435,5.811,1.005,0.833,1.224,0,16.275,0.137,1.995,5.999,0.091,0,2.294,2.479,0.435,5.811,0,0,0,0,0,,,
Gary Keller,PF,122,0.426,0,0.782,0.392,2.179,0.392,5.523,1.739,0.628,2.752,0,14.081,0.608,2.183,5.997,0,1.083,4.557,2.179,0.396,5.523,0,0,0.043,0,0,,,
Keita Bates-Diop,SF,283,0.847,0.34,2.253,0.521,2.246,0.468,4.708,1.008,0.738,1.313,14.678,16.134,0.757,0.857,5.994,0.532,0.549,3,1.731,0.536,3.168,0.515,0.324,1.53,0,0,,,
Bill Willoughby,SF,488,0.839,0.619,2.494,0.469,2.514,0.468,5.347,0.959,0.759,1.276,6.213,17.736,1.419,1.964,5.99,0.408,0.798,3.859,2.488,0.471,5.248,0.013,0.133,0.069,0,0,,,
Justin Jackson,SF,280,1.022,0.181,1.953,0.486,2.282,0.407,5.389,0.585,0.765,0.746,15.068,17.448,0.406,1.038,5.988,0.324,0.428,2.351,1.436,0.497,2.744,0.835,0.312,2.623,0,0,,,
Ike Diogu,PF,225,0.296,0.27,1.842,0.508,2.159,0.507,4.252,1.65,0.784,2.092,5.08,12.424,1.236,1.901,5.984,0.143,0.871,3.038,2.159,0.507,4.239,0,0.064,0.013,0,0,,,
Connie Norman,SG,99,0.937,0.1,0.822,0.444,2.78,0.444,6.383,0.421,0.811,0.521,0,12.267,0.695,1.306,5.981,0.41,0.222,1.505,2.78,0.444,6.383,0,0,0,0,0,,,
Rodions Kurucs,SF,131,0.86,0.26,2.448,0.511,2.229,0.432,5.018,0.724,0.724,1.04,25.351,16.059,0.644,1.916,5.979,0.58,1.032,3.092,1.497,0.524,2.782,0.732,0.329,2.237,0,0,,,
Dalano Banton,PG,152,1.743,0.308,1.674,0.459,2.243,0.411,5.541,0.874,0.671,1.259,4.026,13.402,0.618,1.114,5.978,0.463,0.962,2.292,1.658,0.474,3.53,0.583,0.282,1.991,0,0,,,
Steve Kerr,PG,910,1.81,0.036,0.953,0.553,2.244,0.469,4.669,0.698,0.867,0.795,1.795,17.804,0.21,0.935,5.978,0.525,0.547,1.164,1.45,0.485,2.922,0.795,0.438,1.759,0,0,,,
Ante Žižić,C,113,0.585,0.361,2.619,0.607,2.413,0.607,4.161,1.15,0.717,1.579,13.619,13.399,1.322,1.481,5.977,0.191,0.704,3.942,2.413,0.607,4.161,0,0,0,0,0,,,
